image;original;title;page;author;license;license_url;faces_blurred
images/real/real_61204a9c4a.jpg;2022_City_-_371_37782a25.jpg;File:2022 ГАЗель City НТА в Санкт-Петербурге маршрут 371.jpg;https://commons.wikimedia.org/wiki/File%3A2022_%D0%93%D0%90%D0%97%D0%B5%D0%BB%D1%8C_City_%D0%9D%D0%A2%D0%90_%D0%B2_%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B5_%D0%BC%D0%B0%D1%80%D1%88%D1%80%D1%83%D1%82_371.jpg;Горный человек;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;1
images/real/real_229a9e95bc.jpg;20240419_Sergiev_Posad_city_walk_06_70677__a3b24e30.jpg;File:20240419 Sergiev Posad city walk 06 (70677).jpg;https://commons.wikimedia.org/wiki/File%3A20240419_Sergiev_Posad_city_walk_06_%2870677%29.jpg;Sergey A. Demidov;CC BY 4.0;https://creativecommons.org/licenses/by/4.0;0
images/real/real_b8a951e3b6.jpg;2025-09-21_Moscow_marathon_RGVIO_bus_02_c10bf3f8.jpg;File:2025-09-21 Moscow marathon, RGVIO bus 02.jpg;https://commons.wikimedia.org/wiki/File%3A2025-09-21_Moscow_marathon%2C_RGVIO_bus_02.jpg;Retired electrician;CC0;http://creativecommons.org/publicdomain/zero/1.0/deed.en;8
images/real/real_ba394eb316.jpg;2025-09-21_Moscow_marathon_RGVIO_bus_03_9e73888e.jpg;File:2025-09-21 Moscow marathon, RGVIO bus 03.jpg;https://commons.wikimedia.org/wiki/File%3A2025-09-21_Moscow_marathon%2C_RGVIO_bus_03.jpg;Retired electrician;CC0;http://creativecommons.org/publicdomain/zero/1.0/deed.en;1
images/real/real_a9403a5b99.jpg;2025_A_NefAZ-5299-40-52_bus_on_route_6_in_Naberezhnye_Chelny_5fcfe7c1.jpg;File:2025 A NefAZ-5299-40-52 bus on route 6 in Naberezhnye Chelny.jpg;https://commons.wikimedia.org/wiki/File%3A2025_A_NefAZ-5299-40-52_bus_on_route_6_in_Naberezhnye_Chelny.jpg;Gshwu68votk;CC0;http://creativecommons.org/publicdomain/zero/1.0/deed.en;0
images/real/real_4ff3a409b7.jpg;2316525_-5299__66a5f203.jpg;File:2316525 НефАЗ-5299 в Ижевске.jpg;https://commons.wikimedia.org/wiki/File%3A2316525_%D0%9D%D0%B5%D1%84%D0%90%D0%97-5299_%D0%B2_%D0%98%D0%B6%D0%B5%D0%B2%D1%81%D0%BA%D0%B5.jpg;Сэм.;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;5
images/real/real_c1b5e18826.jpg;2353832_-103__87d81f71.jpg;File:2353832 МАЗ-103 в Пензе.jpg;https://commons.wikimedia.org/wiki/File%3A2353832_%D0%9C%D0%90%D0%97-103_%D0%B2_%D0%9F%D0%B5%D0%BD%D0%B7%D0%B5.jpg;Сэм.;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;0
images/real/real_4b3c514c02.jpg;2354036_-4270__d95822f0.jpg;File:2354036 КАвЗ-4270 в Пензе.jpg;https://commons.wikimedia.org/wiki/File%3A2354036_%D0%9A%D0%90%D0%B2%D0%97-4270_%D0%B2_%D0%9F%D0%B5%D0%BD%D0%B7%D0%B5.jpg;Сэм.;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;3
images/real/real_0bd8467f12.jpg;2354040_Mercedes-Benz_O530_Citaro__5bf5febf.jpg;File:2354040 Mercedes-Benz O530 Citaro в Пензе.jpg;https://commons.wikimedia.org/wiki/File%3A2354040_Mercedes-Benz_O530_Citaro_%D0%B2_%D0%9F%D0%B5%D0%BD%D0%B7%D0%B5.jpg;Сэм.;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;1
images/real/real_34bb42aa0c.jpg;2396756_MAN_A21__b3f160a7.jpg;File:2396756 MAN A21 в Пензе.jpg;https://commons.wikimedia.org/wiki/File%3A2396756_MAN_A21_%D0%B2_%D0%9F%D0%B5%D0%BD%D0%B7%D0%B5.jpg;Сэм.;CC BY-SA 4.0;https://creativecommons.org/licenses/by-sa/4.0;4
