image;plate_num;plate_type;bbox;quad;is_vehicle;is_synthetic;source;license;conditions
images/synthetic/synth_000000.jpg;O00#KK04;type1;121.6,246.4,23.8,5.7;122.0,246.4,145.4,246.9,145.2,252.1,121.6,251.4;1;1;generator;CC BY 4.0;day,dirt,rain
images/synthetic/synth_000001.jpg;M586YC113;type1;133.6,476.1,36.3,10.4;134.0,478.5,169.9,476.1,169.7,483.7,133.6,486.5;1;1;generator;CC BY 4.0;angle,day,dirt
images/synthetic/synth_000001.jpg;X868PE61;type1;378.2,200.9,329.3,104.0;378.2,205.3,706.0,200.9,707.5,276.8,381.5,304.9;0;1;generator;CC BY 4.0;angle,day,dirt
images/synthetic/synth_000001.jpg;O417AX45;type1;303.1,389.7,32.8,23.6;305.3,389.7,336.0,405.1,335.2,413.3,303.1,400.4;0;1;generator;CC BY 4.0;angle,day,dirt
images/synthetic/synth_000002.jpg;K634YT71;type1;906.7,319.3,72.1,18.6;906.7,322.6,976.8,319.3,978.8,334.5,908.0,337.9;1;1;generator;CC BY 4.0;day,dirt
images/synthetic/synth_000003.jpg;E567MY98;type1a;297.0,669.9,327.9,210.7;297.0,701.2,609.5,669.9,624.9,861.7,311.2,880.6;0;1;generator;CC BY 4.0;day,dirt
images/synthetic/synth_000004.jpg;OA57685;type1b;728.5,483.3,107.2,23.6;731.1,483.4,835.7,483.3,835.3,506.9,728.5,505.3;1;1;generator;CC BY 4.0;day,glare
images/synthetic/synth_000005.jpg;B759MY89;type1a;503.7,732.2,184.5,135.0;503.7,754.8,685.4,732.2,688.2,833.8,505.1,867.2;1;1;generator;CC BY 4.0;day,rain
images/synthetic/synth_000006.jpg;YH415696;other;121.6,699.7,284.8,67.9;130.9,699.7,406.4,704.2,405.9,767.6,121.6,756.7;1;1;generator;CC BY 4.0;day,glare
images/synthetic/synth_000007.jpg;TM731122;type1b;436.8,252.2,19.3,5.1;437.6,252.2,456.2,253.5,455.8,257.3,436.8,256.4;1;1;generator;CC BY 4.0;day
images/synthetic/synth_000008.jpg;T959AA790;type1;231.9,736.8,162.2,67.8;243.8,736.8,394.1,770.7,389.5,804.7,231.9,770.2;1;1;generator;CC BY 4.0;day,glare
images/synthetic/synth_000008.jpg;H004PT84;type1;97.8,549.9,68.6,15.5;99.5,549.9,166.5,551.1,161.6,565.4,97.8,563.7;1;1;generator;CC BY 4.0;day,glare
images/synthetic/synth_000009.jpg;X###EC##;type1b;6.2,277.1,39.9,12.4;6.2,281.3,44.6,277.1,46.1,285.6,8.7,289.5;1;1;generator;CC BY 4.0;day,dirt,glare
images/synthetic/synth_000009.jpg;P734HM99;type1a;658.6,188.8,25.6,18.3;658.6,188.8,684.2,191.0,682.7,207.1,659.0,202.7;0;1;generator;CC BY 4.0;day,dirt,glare
images/synthetic/synth_000009.jpg;C398EE199;type1b;487.8,49.2,202.3,47.7;487.8,54.5,689.3,49.2,690.1,94.9,488.7,96.9;0;1;generator;CC BY 4.0;day,dirt,glare
